Facility Number,F_NAME,HMIS,Province,District,Division,LOCATION,Sub-Location,Spatial Reference Method,Facility Type,Agency,Geolocation
29,KIAMBU DISTRICT HOSPITAL,251,CENTRAL,KIAMBU,KIAMBAA,KIAMBAA S/AREA,TOWNSHIP(KIAMBAA),GPS,1,MOH,"(-1.16938, 36.82993)"
30,KIAWAROGA DISP,326,CENTRAL,KIAMBU,LIMURU,KARAMBAINI,KIAWAROGA,1:50000 MAPS,4,MOH,"(-1.10046, 36.702703)"
31,KIBUBUTI HEALTH CENTRE,2412,CENTRAL,KIAMBU,KIAMBAA,WAGUTHU,KANUNGA,SUBLOC CENTROID,3,MISS,"(-1.157365, 36.783449)"
32,KIENI FOREST DISP,215,CENTRAL,KIAMBU,LARI,KINALE,MUKEU(KIAMBU),SUBLOC CENTROID,4,MOH,"(-0.921169, 36.648379)"
33,KIENI HEALTH CENTRE,2448,CENTRAL,KIAMBU,LARI,KAMAE,KAMUKOMBI-INI,1:50000 MAPS,3,MOH,"(-0.858108, 36.619369)"
34,KIGUMO HEALTH CENTRE,237,CENTRAL,KIAMBU,GITHUNGURI,KOMOTHAI,KARATINA,1:50000 MAPS,3,MOH,"(-1.031082, 36.82658)"
35,KIHARA HEALTH CENTRE,216,CENTRAL,KIAMBU,KIAMBAA,KIHARA,MAHINDI,DDP,3,MOH,"(-1.21091, 36.7386)"
36,KIJABE HOSPITAL,252,CENTRAL,KIAMBU,LARI,KIJABE,KIJABE,GPS,1,MISS,"(-0.94349, 36.59431)"
37,KIMATHI DISP,,CENTRAL,KIAMBU,GITHUNGURI,NGEWA,KIMATHI(KIAMBU),DDP,4,MOH,"(-1.1077, 36.8684)"
38,KINALE FOREST DISP,217,CENTRAL,KIAMBU,LARI,KINALE,MUKEU(KIAMBU),1:50000 MAPS,4,MOH,"(-0.911261, 36.61036)"
39,KINALE HEALTH CENTRE,2452,CENTRAL,KIAMBU,LARI,KINALE,MUKEU(KIAMBU),DDP,3,MOH,"(-0.908237, 36.6157)"
40,KIRATINA DISP,,CENTRAL,KIAMBU,GITHUNGURI,KOMOTHAI,KARATINA,DDP,4,MOH,"(-1.03614, 36.8203)"
41,KIRIITA DISP,213,CENTRAL,KIAMBU,LARI,GATAMAIYU,KAGWE,1:50000 MAPS,4,MOH,"(-0.985135, 36.6964)"
42,KIRIITA MISSION HC,235,CENTRAL,KIAMBU,LARI,KIJABE,BATHI,ILRI VILLAGES,3,MISS,"(-0.97, 36.63)"
43,LARI HEALTH CENTRE,239,CENTRAL,KIAMBU,LARI,KIRENGA,ESCARPMENT,DDP,3,MOH,"(-1.02791, 36.605)"
44,LIMURU HEALTH CENTRE,240,CENTRAL,KIAMBU,LIMURU,LIMURU,KAMIRITHU,DDP,3,MOH,"(-1.11593, 36.6366)"
45,LIOKI MISSION DISP,3090,CENTRAL,KIAMBU,GITHUNGURI,IKINU,RIUKI,SUBLOC CENTROID,4,MISS,"(-1.102112, 36.830408)"
46,LITTLE SERVANT OF SACRET HEART DISP,435,CENTRAL,KIAMBU,KIAMBAA,KIAMBAA,NJORO(KIAMBU),SUBLOC CENTROID,4,MISS,"(-1.192355, 36.771525)"
47,LUSIGETTI HEALTH CENTRE,2437,CENTRAL,KIAMBU,KIKUYU,KARAI,LUSINGETTI,1:50000 MAPS,3,MOH,"(-1.28, 36.6136)"
48,MIGAA DISP,321,CENTRAL,KIAMBU,KIAMBAA,CIANDA,CIANDA,ILRI VILLAGES,4,MOH,"(-1.12, 36.8)"
49,MIGUTA DISP,,CENTRAL,KIAMBU,GITHUNGURI,GITHUNGURI,KIAIRIA,ILRI VILLAGES,4,MISS,"(-1.07, 36.8)"
50,MOST PRECIOUS BLOOD DISP,3903,CENTRAL,KIAMBU,LIMURU,TIGONI,RED HILL,ILRI VILLAGES,4,MISS,"(-1.18, 36.7)"
51,NAZARETH HOSPITAL,255,CENTRAL,KIAMBU,LIMURU,KARAMBAINI,KARAMBAINI,1:50000 MAPS,1,MISS,"(-1.13378, 36.7257)"
52,NDEIYA HEALTH CENTRE,3928,CENTRAL,KIAMBU,LIMURU,NDEIYA,NDERU,DDP,3,MOH,"(-1.16975, 36.5942)"
53,NDERU DISP,221,CENTRAL,KIAMBU,LIMURU,NDEIYA,NDERU,1:50000 MAPS,4,MOH,"(-1.142793, 36.60586)"
54,NDURIRI DISP,,CENTRAL,KIAMBU,LARI,NYANDUMA,GACHOIRE,1:50000 MAPS,4,MISS,"(-0.984242, 36.70945)"
55,NDURIRI DISP,3974,CENTRAL,KIAMBU,LARI,NYANDUMA,GACHOIRE,1:50000 MAPS,4,MOH,"(-0.984685, 36.70901)"
56,NGARARIGA MISSION DISP,3100,CENTRAL,KIAMBU,LIMURU,LIMURU,BIBIRIONI,1:50000 MAPS,4,MISS,"(-1.069369, 36.617117)"
57,NGECHA ORTHODOX  DISP,,CENTRAL,KIAMBU,LIMURU,NGECHA,NGECHA,SUBLOC CENTROID,4,MISS,"(-1.169356, 36.670303)"
58,NGEWA HEALTH CENTRE,243,CENTRAL,KIAMBU,GITHUNGURI,NGEWA,NYAGA,1:50000 MAPS,3,MOH,"(-1.092343, 36.863964)"
59,NYAGA HEALTH CENTRE,,CENTRAL,KIAMBU,GITHUNGURI,NGEWA,NYAGA,DDP,3,MOH,"(-1.10326, 36.8716)"
60,NYATHUNA HEALTH CENTRE,260,CENTRAL,KIAMBU,KIKUYU,NYATHUNA,KIRANGARI(KIAMBU),DDP,3,MOH,"(-1.20204, 36.7031)"
61,P.C.E.A GATHIRUINI DISP,,CENTRAL,KIAMBU,GITHUNGURI,KOMOTHAI,KIBICHOI,SUBLOC CENTROID,4,MISS,"(-1.049952, 36.87118)"
62,P.C.E.A. KIKUYU HOSPITAL,2441,CENTRAL,KIAMBU,KIKUYU,KIKUYU,KIKUYU TOWNSHIP,DDP,1,MISS,"(-1.26667, 36.6667)"
63,RAGIA FOREST DISP,225,CENTRAL,KIAMBU,LARI,KAMAE,KAMAE,ILRI VILLAGES,4,MOH,"(-0.790616, 36.661129)"
64,RAGIA HEALTH CENTRE,2449,CENTRAL,KIAMBU,LARI,KAMAE,KAMAE,DDP,3,MOH,"(-0.791728, 36.6759)"
65,THIGIO MISSION DISP,227,CENTRAL,KIAMBU,LIMURU,NDEIYA,THIGIO(KIAMBU),ILRI VILLAGES,4,MISS,"(-1.18, 36.6)"
66,TIGONI SUB-DISTRICT HOSPITAL,257,CENTRAL,KIAMBU,LIMURU,TIGONI,ITHANJI(KIAMBU),DDP,1,MOH,"(-1.12859, 36.6493)"
67,TIN'GAN'GA DISP,229,CENTRAL,KIAMBU,KIAMBAA,TING'ANG'A,TING'ANG'A,DDP,4,MISS,"(-1.13366, 36.8083)"
68,UPLANDS DISP,230,CENTRAL,KIAMBU,LARI,LARI,GITHIRIONI,DDP,4,MOH,"(-1.04691, 36.6778)"
69,UTHIRU DISP,231,CENTRAL,KIAMBU,KIKUYU,KINOO,UTHIRU(KIAMBU),1:50000 MAPS,4,MOH,"(-1.2526, 36.7086)"
70,WANGIGE HEALTH CENTRE,249,CENTRAL,KIAMBU,KIKUYU,NYATHUNA,KARURA(KIKUYU),1:50000 MAPS,3,MOH,"(-1.21737, 36.7261)"
1,BARICHO HEALTH CENTRE,297,CENTRAL,KIRINYAGA,NDIA,MWERUA,KIANJANG'A,DDP,3,MOH,"(-0.563405, 37.2305)"
2,BARICHO MISS H C,3082,CENTRAL,KIRINYAGA,NDIA,MWERUA,KIANJANG'A,HD MAPS,3,MISS,"(-0.568805, 37.2387)"
3,CASTLE FOREST DISP,3763,CENTRAL,KIRINYAGA,GICHUGU,KARUMANDI,THUMAITA,1:50000 MAPS,4,MOH,"(-0.42234, 37.351234)"
4,CHRISTIAN COMMUNITY SERVICES BASE DISP,,CENTRAL,KIRINYAGA,CENTRAL,INOI,NDIMI,HD MAPS,4,MISS,"(-0.49407, 37.2597)"
5,CIAGINI DISP,86,CENTRAL,KIRINYAGA,MWEA,THIBA,WAMUMU,HD MAPS,4,MOH,"(-0.75776, 37.3783)"
6,DIFATHAAS CATHOLIC DISP,4713,CENTRAL,KIRINYAGA,MWEA,MURINDUKO,KAMUNYANGE,1:50000 MAPS,4,MISS,"(-0.551802, 37.400901)"
7,DIFATHAS DISP,263,CENTRAL,KIRINYAGA,MWEA,MURINDUKO,KAMUNYANGE,HD MAPS,4,MOH,"(-0.59514, 37.4125)"
8,GACHIONGO DISP,264,CENTRAL,KIRINYAGA,GICHUGU,NJUKIINI,NGIRIAMBU,HD MAPS,4,MOH,"(-0.50091, 37.4056)"
9,GATHAMBI DISP,265,CENTRAL,KIRINYAGA,CENTRAL,INOI,NDIMI,HD MAPS,4,MOH,"(-0.48343, 37.2483)"
10,GATHIGIRIRI DISP,266,CENTRAL,KIRINYAGA,MWEA,TEBERE,KARUKUNGU,HD MAPS,4,MOH,"(-0.71293, 37.4391)"
,GATITHI DISP,,CENTRAL,KIRINYAGA,CENTRAL,KERUGOYA,KAGUYU,,4,MISS,
11,GATUGURA DISP,267,CENTRAL,KIRINYAGA,GICHUGU,KIRIMA,MUTIGE,HD MAPS,4,MOH,"(-0.45683, 37.316)"
12,GATUMBI S D A DISP,268,CENTRAL,KIRINYAGA,GICHUGU,NGARIAMA,THIRIKWA,HD MAPS,4,MISS,"(-0.45759, 37.3798)"
13,GATWE DISP,269,CENTRAL,KIRINYAGA,CENTRAL,KERUGOYA,KIMANDI,HD MAPS,4,MOH,"(-0.46443, 37.284)"
14,GIRIAMBU ACK DISP,,CENTRAL,KIRINYAGA,GICHUGU,NJUKIINI,NGIRIAMBU,SUBLOC CENTROID,4,MISS,"(-0.497068, 37.38695)"
15,GITHUANI C P K DISP,4716,CENTRAL,KIRINYAGA,NDIA,KIINE SOUTH,THIGIRICHI,HD MAPS,4,MISS,"(-0.62098, 37.1792)"
16,GITHURE DISP,4724,CENTRAL,KIRINYAGA,GICHUGU,NGARIAMA,THIRIKWA,HD MAPS,4,MISS,"(-0.47051, 37.3836)"
17,JESMOND MBURI DISP,,CENTRAL,KIRINYAGA,GICHUGU,NJUKIINI,MIRICHI,HD MAPS,4,MISS,"(-0.5237, 37.3988)"
18,KABARE DISP,270,CENTRAL,KIRINYAGA,GICHUGU,KABARE,KIRITINI,HD MAPS,4,MOH,"(-0.51458, 37.3175)"
19,KAGIO CATHOLIC DISP,271,CENTRAL,KIRINYAGA,NDIA,MWERUA,KITHUMBU,HD MAPS,4,MISS,"(-0.63009, 37.227)"
20,KAGUMO DISP,272,CENTRAL,KIRINYAGA,NDIA,MUTIRA,KABARI(NDIA),GPS,4,MOH,"(-0.47139, 37.23641)"
,KAGUMO LIFE GIVING DISP,,CENTRAL,KIRINYAGA,NDIA,MUTIRA,KIRUNDA,,4,MISS,
21,KAMWETI DISP,274,CENTRAL,KIRINYAGA,GICHUGU,KIRIMA,NJUKU,HD MAPS,4,MOH,"(-0.44391, 37.3099)"
22,KANDONGO DISP,275,CENTRAL,KIRINYAGA,MWEA,THIBA,NGUKA,HD MAPS,4,MOH,"(-0.66505, 37.3038)"
23,KANGAITA DISP,276,CENTRAL,KIRINYAGA,CENTRAL,KERUGOYA,KAGUYU(CENTRAL),HD MAPS,4,MOH,"(-0.48951, 37.2719)"
24,KANGARU HEALTH CENTRE,908,CENTRAL,KIRINYAGA,NDIA,MWERUA,MAITHARUI,1:50000 MAPS,3,MOH,"(-0.582134, 37.221234)"
25,KARAINI C P K DISP,4719,CENTRAL,KIRINYAGA,CENTRAL,KERUGOYA,KAGUYU(CENTRAL),HD MAPS,4,MISS,"(-0.50243, 37.2726)"
26,KARIRA HOSPITAL,391,CENTRAL,KIRINYAGA,,,,,1,MISS,
27,KARUMANDI DISP,277,CENTRAL,KIRINYAGA,GICHUGU,KARUMANDI,KIARURI,HD MAPS,4,MOH,"(-0.45683, 37.3456)"
28,KERUGOYA CATHOLIC DISP,278,CENTRAL,KIRINYAGA,CENTRAL,KERUGOYA,KAGUYU(CENTRAL),GPS,4,MISS,"(-0.49509, 37.27838)"
29,KERUGOYA CPK DISP,279,CENTRAL,KIRINYAGA,CENTRAL,KERUGOYA,KAGUYU(CENTRAL),GPS,4,MISS,"(-0.50107, 37.27819)"
30,KERUGOYA DISTRICT HOSPITAL,301,CENTRAL,KIRINYAGA,CENTRAL,KERUGOYA,KAGUYU(CENTRAL),GPS,1,MOH,"(-0.50132, 37.2805)"
31,KIAMUTUGU HEALTH CENTRE,280,CENTRAL,KIRINYAGA,GICHUGU,NJUKIINI,NGERWE,HD MAPS,3,MOH,"(-0.47279, 37.4018)"
32,KIANDAI ACK DISP,4721,CENTRAL,KIRINYAGA,GICHUGU,KIRIMA,GACHIGI,ILRI VILLAGES,4,MISS,"(-0.48, 37.3)"
33,KIANGAI DISP,281,CENTRAL,KIRINYAGA,NDIA,MUKURE,MUKURE,HD MAPS,4,MOH,"(-0.48115, 37.2073)"
34,KIANG'OMBE DISP,282,CENTRAL,KIRINYAGA,GICHUGU,KABARE,KIRITINI,HD MAPS,4,MOH,"(-0.49635, 37.3129)"
35,KIANJEGE DISP,283,CENTRAL,KIRINYAGA,NDIA,KIINE SOUTH,NYANGIO,HD MAPS,4,MOH,"(-0.5883, 37.1624)"
36,KIANYAGA H C,299,CENTRAL,KIRINYAGA,GICHUGU,BARAGWI,GATU,HD MAPS,3,MOH,"(-0.50091, 37.3296)"
37,KIANYAGA MISS H C,3081,CENTRAL,KIRINYAGA,GICHUGU,BARAGWI,RWAMBITI,HD MAPS,3,MISS,"(-0.51079, 37.3426)"
38,KIARAGANA DISP,284,CENTRAL,KIRINYAGA,NDIA,MUKURE,KANYOKORA,HD MAPS,4,MOH,"(-0.51231, 37.2035)"
39,KIBIRIGWI DISP,285,CENTRAL,KIRINYAGA,NDIA,KIINE SOUTH,NYANGIO,HD MAPS,4,MOH,"(-0.55638, 37.1495)"
40,KIMBIMBI HEALTH CENTRE,300,CENTRAL,KIRINYAGA,MWEA,NYANGATI,NYANGATI,GPS,3,MOH,"(-0.61705, 37.3651)"
,KIUMBU DISP,,CENTRAL,KIRINYAGA,NDIA,INOI,THAITA,,4,MISS,
41,KIUMBUINI DISP,286,CENTRAL,KIRINYAGA,MWEA,TEBERE,KARUKUNGU,HD MAPS,4,MOH,"(-0.72129, 37.474)"
42,KUTUS CATHOLIC DISP,4714,CENTRAL,KIRINYAGA,CENTRAL,KUTUS,KAMUIGUA,GPS,4,MISS,"(-0.56432, 37.32517)"
,MAGDALENE ACK DISP,,CENTRAL,KIRINYAGA,GICHUGU,NGARIAMA,NYANGENI,,4,MISS,
43,MBIRI ACK DISP,4727,CENTRAL,KIRINYAGA,GICHUGU,NJUKIINI,NGERWE,ILRI VILLAGES,4,MISS,"(-0.48, 37.4)"
44,MBURI ACK DISP,4729,CENTRAL,KIRINYAGA,CENTRAL,KERUGOYA,KAITHERI,1:50000 MAPS,4,MISS,"(-0.52252, 37.29279)"
,MT KENYA EAST ACK DISP,,CENTRAL,KIRINYAGA,GICHUGU,NGARIAMA,NYANGENI,,4,MISS,
45,MUGUMO (ACK) DISP,4720,CENTRAL,KIRINYAGA,GICHUGU,KIRIMA,NJUKU,1:50000 MAPS,4,MISS,"(-0.432433, 37.30495)"
46,MUMBUINI DISP,3860,CENTRAL,KIRINYAGA,MWEA,MURINDUKO,MIUU,HD MAPS,4,MOH,"(-0.67797, 37.4634)"
47,MUNGANGA CPK DISP,289,CENTRAL,KIRINYAGA,NDIA,MWERUA,KITHUMBU,ILRI MKT CENTRES,4,MISS,"(-0.621, 37.254)"
48,MURINDUKO DISP,3035,CENTRAL,KIRINYAGA,MWEA,MURINDUKO,MUGAMBA-CIURA,GPS,4,MOH,"(-0.57294, 37.44077)"
49,MUTHITHI DISP,290,CENTRAL,KIRINYAGA,MWEA,MUTITHI,KABIRIRI,HD MAPS,4,MOH,"(-0.73269, 37.3038)"
50,MUTIRA ACK DISP,4718,CENTRAL,KIRINYAGA,NDIA,MUTIRA,KAGUMO(KIRINYAGA),ILRI VILLAGES,4,MISS,"(-0.48, 37.23)"
,MUTITHI DISP,,CENTRAL,KIRINYAGA,MWEA,TEBERE,KIARUKUNGU,,4,MOH,
52,MWEA MISS HOSPITAL,302,CENTRAL,KIRINYAGA,MWEA,THIBA,NGUKA,GPS,1,MISS,"(-0.66137, 37.34924)"
,NGARIAMA DISP,,CENTRAL,KIRINYAGA,MWEA,MUTITHI,WAMUMU,,4,MOH,
53,NGIRIAMBU DISP,4728,CENTRAL,KIRINYAGA,GICHUGU,NJUKIINI,NGIRIAMBU,HD MAPS,4,MISS,"(-0.50167, 37.3828)"
54,NGUKA DISP,292,CENTRAL,KIRINYAGA,MWEA,THIBA,THIBA,HD MAPS,4,MOH,"(-0.68633, 37.316)"
55,NJEGAS DISP,293,CENTRAL,KIRINYAGA,MWEA,MUTITHI,KABIRIRI,HD MAPS,4,MOH,"(-0.70913, 37.2924)"
56,SAGANA H C,304,CENTRAL,KIRINYAGA,NDIA,KIINE SOUTH,SAGANA(KIRINYAGA),HD MAPS,3,MOH,"(-0.67113, 37.2187)"
57,SAGANA MISS DISP,294,CENTRAL,KIRINYAGA,NDIA,KIINE SOUTH,SAGANA(KIRINYAGA),HD MAPS,4,MISS,"(-0.65213, 37.2308)"
58,ST ANDREWS MBIRI DISP,3972,CENTRAL,KIRINYAGA,GICHUGU,KABARE,KIRITINI,HD MAPS,4,MISS,"(-0.51838, 37.3258)"
59,ST LUKE'S MUNGAGA DISP,,CENTRAL,KIRINYAGA,MWEA,MUTITHI,RUKANGA(KIRINYAGA),HD MAPS,4,MISS,"(-0.72281, 37.262)"
60,ST LUKES MURIGARIGA DISP,,CENTRAL,KIRINYAGA,,,,,4,MISS,
,ST TERESA DISP,,CENTRAL,KIRINYAGA,MWEA,MUTITHI,WAMUMU,,4,MOH,
61,THIBA DISP,295,CENTRAL,KIRINYAGA,MWEA,THIBA,THIBA,HD MAPS,4,MOH,"(-0.70457, 37.3327)"
62,THUMAITA DISP,4723,CENTRAL,KIRINYAGA,GICHUGU,KARUMANDI,THUMAITA,HD MAPS,4,MISS,"(-0.43935, 37.3585)"
1,AIC MUNUNGA DISP,389,CENTRAL,MARAGUA,KIGUMO,KINYONA,GACHARAGE(KIGUMO),ILRI MKT CENTRES,4,MISS,"(-0.739723, 36.852509)"
2,DON BOSCO MAKUYU DISP,4162,CENTRAL,MARAGUA,MAKUYU,MAKUYU,GAKUNGU,GPS,4,MISS,"(-0.9064, 37.19762)"
3,GAICHANJIRU MISSION HOSPITAL,388,CENTRAL,MARAGUA,KANDARA,ITHIRU,GAKUI/KARIMAMWARO,DHMT,1,MISS,"(-0.852765, 36.977445)"
4,GIKOE DISP,315,CENTRAL,MARAGUA,KIGUMO,KINYONA,KAMUKABI,1:50000 MAPS,4,MOH,"(-0.761775, 36.9013)"
5,GITHUMU HEALTH CENTRE,,CENTRAL,MARAGUA,KANDARA,RUCHU,GITHUMU,ILRI VILLAGES,3,MISS,"(-0.82, 36.9)"
6,GITURU DISP,320,CENTRAL,MARAGUA,KANDARA,RUCHU,GITURU,1:50000 MAPS,4,MISS,"(-0.81464, 36.8668)"
7,ICHAGAKI HEALTH CENTRE,390,CENTRAL,MARAGUA,MARAGUA,ICHAGAKI,ICHAGAKI,DHMT,3,MISS,"(-0.816915, 37.070665)"
,KAGUMOINI DISP,,CENTRAL,MARAGUA,KANDARA,GAICHANJIRU,KAGUMOINI(MARAGUA),DHMT,4,MOH,"(-0.891818, 37.080265)"
8,KAGUTHI DISP,2710,CENTRAL,MARAGUA,KANDARA,ITHIRU,KAGUTHI,1:50000 MAPS,4,MOH,"(-0.881234, 36.96123)"
9,KAGWATHI SDA DISP,,CENTRAL,MARAGUA,MARAGUA,KAHUMBU,MUGUMOINI(MARAG),GPS,4,MISS,"(-0.85942, 37.07856)"
10,KAMAHUHA DISP,328,CENTRAL,MARAGUA,MAKUYU,KAMAHUHA,KAMAHUHA,GPS,4,MOH,"(-0.84289, 37.17814)"
11,KAMBITI DISP,3367,CENTRAL,MARAGUA,MAKUYU,KAMBITI,KAMBITI(MARAGUA),1:50000 MAPS,4,MOH,"(-0.812354, 37.25123)"
,KAMUNGANGA DISP,4844,CENTRAL,MARAGUA,KIGUMO,KIGUMO,GACHOCHO,DHMT,4,MISS,"(-0.785806, 36.976049)"
12,KANDARA HEALTH CENTRE,377,CENTRAL,MARAGUA,KANDARA,MURUKA,GATITU/NGUTHIRU,DHMT,3,MOH,"(-0.897239, 37.038699)"
,KANDERENDU DISP,,CENTRAL,MARAGUA,KIGUMO,KANGARI,MAKOMBOKI,DHMT,4,MOH,"(-0.781589, 36.797738)"
13,KANGARI DISP,330,CENTRAL,MARAGUA,KIGUMO,KANGARI,KANGARI,1:50000 MAPS,4,MOH,"(-0.781234, 36.851234)"
14,KARITI DISP,2709,CENTRAL,MARAGUA,KANDARA,KAGUNDUINI,KARITI,GPS,4,MOH,"(-0.86633, 37.01707)"
15,KARIUA DISP,333,CENTRAL,MARAGUA,KANDARA,RUCHU,KARIUA,GPS,4,MOH,"(-0.83194, 36.97549)"
16,KINYONA DISP,343,CENTRAL,MARAGUA,KIGUMO,KINYONA,KINYONA,1:50000 MAPS,4,MISS,"(-0.748188, 36.827)"
17,MAKUYU HEALTH CENTRE,384,CENTRAL,MARAGUA,MAKUYU,MAKUYU,MAKUYU,GPS,3,MOH,"(-0.89406, 37.18661)"
18,MARAGUA DISTRICT HOSPITAL (RHTC),395,CENTRAL,MARAGUA,MARAGUA,NGINDA,GAKOIGO,GPS,1,MOH,"(-0.78693, 37.12663)"
19,MARAGUA RIDGE HEALTH CENTRE,348,CENTRAL,MARAGUA,MARAGUA,MARAGUA RIDGE,MARAGUA RIDGE,ILRI VILLAGES,3,MOH,"(-0.77, 37.2)"
20,MARANJAU GK PRISON DISP,361,CENTRAL,MARAGUA,MAKUYU,KAMBITI,MARANJAU,DHMT,4,MOH,"(-0.803599, 37.209983)"
21,MARIRA DISP,350,CENTRAL,MARAGUA,KIGUMO,KANGARI,MARIIRA,1:50000 MAPS,4,MISS,"(-0.79846, 36.9348)"
23,MUGUMOINI DISP,358,CENTRAL,MARAGUA,MARAGUA,KAHUMBU,MUGUMOINI(MARAG),GPS,4,MOH,"(-0.84768, 37.0772)"
25,MURUKA DISP,3414,CENTRAL,MARAGUA,KANDARA,MURUKA,MURUKA,GPS,4,MOH,"(-0.92799, 37.05976)"
26,MUTHERU DISP,363,CENTRAL,MARAGUA,KANDARA,RUCHU,GACHARAGE(KANDARA),1:50000 MAPS,4,MOH,"(-0.817568, 36.951802)"
27,MUTHITHI DISP,364,CENTRAL,MARAGUA,MARAGUA,ICHAGAKI,GIKOMORA,1:50000 MAPS,4,MISS,"(-0.810626, 37.0485)"
,MUTHITHI DISP,,CENTRAL,MARAGUA,MARAGUA,ICHAGAKI,GIKOMORA,DHMT,4,MOH,"(-0.801467, 37.044121)"
28,NAARO DISP,367,CENTRAL,MARAGUA,KANDARA,MURUKA,NAARO,1:50000 MAPS,4,MOH,"(-0.93433, 37.0322)"
